MARRIAGE_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,TOTAL_FESTIVAL_DAYS_futcov,FESTIVE_PHASE_I_futcov,darts_enc_fc_pos_relative_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_fc_cus_custom_futcov,darts_enc_fc_cyc_month_cos_futcov,PROP_FESTIVE_PHASE_I_futcov,PROP_PITRU_PAKSH_futcov,FESTIVE_PHASE_III_futcov,PROP_FESTIVE_PHASE_II_futcov,PITRU_PAKSH_futcov,LAST_YEAR_CONTRIBUTION_futcov,FESTIVE_PHASE_II_futcov
0.3,1.0,2.9000000000000004,3.5999999999999996,3.3000000000000003,3.0,4.8,5.8999999999999995,8.1,6.9,9.6,9.3,6.4,10.7,9.1,15.0
0.4,0.8999999999999999,2.6,4.2,3.0,2.4,4.5,5.4,7.000000000000001,7.000000000000001,10.7,7.9,8.3,8.7,10.7,16.3
0.5,0.8999999999999999,2.6,4.0,2.6,3.0,4.9,5.8999999999999995,7.6,6.800000000000001,11.0,8.5,9.5,9.4,9.6,13.3
0.4,1.2,2.7,2.5,2.5,4.1000000000000005,2.4,7.7,4.7,5.4,5.6000000000000005,5.7,22.3,7.9,18.3,6.7
0.4,1.0999999999999999,2.6,2.1999999999999997,2.3,4.3,2.3,8.3,4.2,5.4,5.4,5.7,23.799999999999997,8.0,17.7,6.2
0.4,1.0999999999999999,2.6,2.1999999999999997,2.3,4.2,2.3,7.9,4.7,5.5,5.4,5.7,25.3,8.0,16.0,6.2
0.5,0.7000000000000001,2.7,4.3,2.8000000000000003,4.2,7.1,7.3,4.9,7.1,12.7,8.0,7.3,10.7,10.8,9.0
0.6,0.6,2.6,3.3000000000000003,2.3,5.1,7.000000000000001,7.3,4.5,7.199999999999999,12.0,8.3,9.700000000000001,10.5,10.4,8.7
0.6,0.7000000000000001,2.5,3.2,2.1999999999999997,4.8,6.5,7.3999999999999995,5.1,7.000000000000001,11.200000000000001,7.8,11.799999999999999,10.4,10.6,8.200000000000001
0.6,0.7000000000000001,2.5,3.2,2.3,4.6,6.1,7.5,5.4,6.9,10.7,7.6,12.7,10.299999999999999,10.8,8.1
0.3,1.0,2.9000000000000004,3.5999999999999996,3.0,3.5999999999999996,5.2,6.6000000000000005,6.9,6.800000000000001,10.299999999999999,8.200000000000001,7.000000000000001,11.0,12.8,10.8
0.4,0.8,2.8000000000000003,3.5000000000000004,2.7,4.2,6.1,7.000000000000001,5.5,6.9,10.8,8.9,7.9,11.0,11.799999999999999,9.6
0.4,0.8,3.0,3.3000000000000003,2.6,4.8,6.2,6.4,5.3,7.000000000000001,10.6,10.299999999999999,7.3,10.7,10.299999999999999,11.200000000000001
0.4,0.8,2.9000000000000004,3.5999999999999996,2.7,4.2,5.8999999999999995,6.7,5.8999999999999995,6.9,10.8,9.3,7.3,10.4,11.200000000000001,11.0
0.4,0.8999999999999999,2.8000000000000003,3.5000000000000004,2.6,4.1000000000000005,5.3,6.9,6.2,6.800000000000001,10.100000000000001,8.6,9.1,10.299999999999999,12.2,10.2
0.3,1.0,3.0,3.6999999999999997,3.5000000000000004,3.1,5.3,6.0,7.8,6.9,10.0,9.2,5.5,10.9,9.8,14.099999999999998
