PROP_FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_1_pastcov,FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_pastcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_pc_pos_relative_pastcov,darts_enc_fc_pos_relative_futcov,MARRIAGE_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cus_custom_1_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_pc_cyc_month_sin_pastcov,darts_enc_pc_cyc_month_cos_pastcov,FESTIVE_PHASE_II_futcov,NET_SALES_target,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
1.0999999999999999,1.6,0.2,0.8,1.9,2.0,2.1,2.1,0.5,2.6,3.9,2.5,3.5000000000000004,4.5,2.6,4.0,3.1,3.3000000000000003,10.7,29.599999999999998,11.4,5.8999999999999995
1.4000000000000001,1.9,0.8,0.8,2.1,2.8000000000000003,2.1999999999999997,2.1,1.3,2.8000000000000003,5.2,3.6999999999999997,11.0,4.5,4.0,4.6,4.3,3.0,7.9,24.5,6.1,2.9000000000000004
0.8999999999999999,1.0,2.9000000000000004,0.8999999999999999,1.5,2.5,1.6,2.8000000000000003,1.0,1.7000000000000002,4.1000000000000005,1.7999999999999998,2.1999999999999997,2.5,8.6,3.4000000000000004,4.3999999999999995,2.9000000000000004,7.1,21.2,12.8,12.6
1.5,1.7000000000000002,0.5,0.8,2.8000000000000003,3.4000000000000004,2.0,1.7999999999999998,1.5,2.7,5.3,3.5999999999999996,10.100000000000001,3.8,5.1,5.2,3.5000000000000004,3.0,7.1,26.200000000000003,5.800000000000001,2.6
1.3,1.9,0.1,0.8999999999999999,2.3,2.5,2.3,2.0,0.7000000000000001,2.9000000000000004,5.5,3.0,6.4,4.7,2.9000000000000004,4.6,3.5000000000000004,3.5000000000000004,9.8,25.900000000000002,8.799999999999999,4.3
1.0999999999999999,1.5,0.2,0.8999999999999999,1.6,1.9,2.1,2.1,0.6,2.7,3.8,2.7,4.2,4.5,2.7,3.9,3.2,3.9,12.0,25.2,12.5,6.800000000000001
1.3,1.9,0.1,0.8,1.9,3.2,2.1999999999999997,2.1,0.7000000000000001,2.9000000000000004,5.800000000000001,3.2,8.1,4.7,2.8000000000000003,4.8,3.4000000000000004,3.1,8.799999999999999,27.500000000000004,6.800000000000001,3.8
1.0999999999999999,1.5,0.7000000000000001,0.8,2.0,3.1,2.0,2.0,0.6,2.5,4.9,2.4,3.9,4.2,5.5,4.3,3.3000000000000003,2.4,8.5,32.1,7.3,4.8
1.0999999999999999,1.7000000000000002,0.1,0.8,1.6,2.0,2.3,2.1999999999999997,0.6,2.8000000000000003,4.1000000000000005,2.8000000000000003,4.3,4.7,2.9000000000000004,3.9,3.3000000000000003,3.8,12.2,25.6,11.600000000000001,5.5
1.2,1.7000000000000002,0.1,0.8,1.6,2.1,2.3,2.1999999999999997,0.6,2.8000000000000003,4.3,2.8000000000000003,4.8,4.7,2.9000000000000004,4.0,3.3000000000000003,3.8,11.799999999999999,26.400000000000002,10.8,5.2
1.3,2.0,0.6,0.8,2.3,2.8000000000000003,2.1999999999999997,2.1,0.8999999999999999,2.8000000000000003,5.0,3.2,8.0,4.6,4.3999999999999995,4.5,4.3,3.0,8.3,26.900000000000002,6.2,3.5999999999999996
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,2.1,2.1,2.1999999999999997,2.1,0.5,2.8000000000000003,4.2,2.7,3.9,4.9,2.8000000000000003,4.1000000000000005,3.3000000000000003,3.2,10.8,28.799999999999997,9.6,6.2
1.0999999999999999,1.7999999999999998,0.1,0.8999999999999999,1.9,2.0,2.3,2.1999999999999997,0.5,2.8000000000000003,4.1000000000000005,2.7,4.0,4.9,2.9000000000000004,4.0,3.3000000000000003,3.5999999999999996,11.5,26.700000000000003,10.7,5.8999999999999995
1.2,1.7999999999999998,0.1,0.8999999999999999,2.0,2.1999999999999997,2.3,2.1,0.6,2.8000000000000003,4.3999999999999995,2.8000000000000003,4.5,4.8,2.9000000000000004,4.2,3.4000000000000004,3.3000000000000003,10.6,28.7,9.2,5.4
1.0,1.4000000000000001,0.5,0.8,1.9,2.9000000000000004,2.0,2.0,0.5,2.4,4.3,2.3,3.0,4.0,6.3,3.9,2.6,2.1999999999999997,8.3,34.4,8.200000000000001,5.3
1.3,1.7000000000000002,0.8,0.8,2.1999999999999997,2.6,2.1,2.1999999999999997,0.8,2.6,4.8,2.7,4.8,4.5,4.2,4.3,4.1000000000000005,3.0,8.3,30.3,7.9,4.3
1.0999999999999999,1.7000000000000002,0.8,0.8,2.1999999999999997,2.3,2.1,2.1999999999999997,0.6,2.5,4.5,2.4,3.1,4.6,4.5,4.0,4.1000000000000005,2.4,9.4,29.799999999999997,8.799999999999999,6.0
1.0999999999999999,1.7000000000000002,0.2,0.8,1.9,1.9,2.1999999999999997,2.1999999999999997,0.5,2.7,3.8,2.6,3.5000000000000004,4.7,2.7,3.9,3.2,3.5000000000000004,11.5,27.500000000000004,12.1,6.1
1.3,1.7999999999999998,0.1,0.8,1.9,2.1,2.1999999999999997,2.3,0.7000000000000001,2.9000000000000004,4.7,3.1,5.8999999999999995,5.0,2.8000000000000003,4.5,3.4000000000000004,3.3000000000000003,9.5,28.199999999999996,8.9,4.6
1.2,1.7000000000000002,0.8,0.8,2.1999999999999997,2.1999999999999997,2.1,2.1999999999999997,0.7000000000000001,2.6,4.5,2.5,3.4000000000000004,4.7,4.2,4.0,4.2,2.9000000000000004,9.5,28.499999999999996,9.3,6.0
1.0999999999999999,1.6,0.1,0.8,2.1,1.9,2.1,2.1,0.5,2.6,3.9,2.5,3.2,4.8,2.6,4.0,3.1,2.8000000000000003,10.6,30.099999999999998,10.2,7.199999999999999
1.0999999999999999,1.7000000000000002,0.8,0.8999999999999999,2.4,2.4,2.1,2.1,0.6,2.6,4.7,2.4,3.1,4.7,4.3,4.2,4.2,2.0,8.6,31.7,7.000000000000001,6.5
1.0,1.6,0.2,0.8,1.9,1.7000000000000002,2.1,2.1,0.5,2.6,3.5000000000000004,2.4,3.1,4.7,2.6,3.6999999999999997,3.0,3.4000000000000004,11.799999999999999,27.200000000000003,13.200000000000001,6.9
1.0999999999999999,1.7000000000000002,0.8,0.8,2.3,2.3,2.1,2.1999999999999997,0.6,2.6,4.5,2.5,3.2,4.7,4.5,4.0,4.2,2.4,9.5,28.999999999999996,8.6,6.1
1.3,1.7999999999999998,0.1,0.8,1.7999999999999998,2.1999999999999997,2.1999999999999997,2.1999999999999997,0.8,2.8000000000000003,4.5,3.1,6.3,4.8,2.7,4.3999999999999995,3.3000000000000003,3.4000000000000004,9.4,28.499999999999996,9.0,4.5
