darts_enc_pc_cyc_month_sin_pastcov,FESTIVE_PHASE_I_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cus_custom_1_futcov,MARRIAGE_DAYS_futcov,darts_enc_fc_pos_relative_futcov,darts_enc_pc_cus_custom_pastcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_pc_pos_relative_pastcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_cos_futcov,FESTIVE_PHASE_II_futcov,darts_enc_pc_cus_custom_1_pastcov,NET_SALES_target,darts_enc_pc_cyc_month_cos_pastcov,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
1.6,0.5,0.5,1.7000000000000002,0.2,1.7000000000000002,0.4,3.5999999999999996,1.6,2.8000000000000003,2.4,3.1,3.1,3.5000000000000004,11.1,3.6999999999999997,12.3,3.1,17.5,7.1,14.299999999999999,4.1000000000000005
1.7999999999999998,0.4,0.5,1.4000000000000001,0.3,1.7000000000000002,0.3,3.6999999999999997,2.3,2.5,2.4,3.2,2.9000000000000004,3.4000000000000004,11.1,3.5999999999999996,10.8,8.4,19.5,5.2,10.6,3.9
1.4000000000000001,0.3,0.7000000000000001,0.8999999999999999,0.4,1.5,0.3,2.9000000000000004,6.0,1.7000000000000002,1.7999999999999998,3.1,2.1,2.5,7.9,3.3000000000000003,6.2,26.1,18.0,3.6999999999999997,5.800000000000001,3.3000000000000003
2.1,0.5,0.7000000000000001,1.4000000000000001,0.4,1.7999999999999998,0.3,4.0,5.8999999999999995,2.3,2.4,3.5999999999999996,2.8000000000000003,3.5000000000000004,12.0,3.6999999999999997,10.100000000000001,3.3000000000000003,21.4,5.6000000000000005,8.5,3.6999999999999997
2.1999999999999997,0.2,0.6,1.3,0.5,1.4000000000000001,0.3,4.3,3.2,2.6,2.7,4.1000000000000005,3.3000000000000003,3.6999999999999997,11.4,4.3,12.4,2.7,19.7,6.6000000000000005,8.3,4.2
2.1,0.3,0.6,1.2,0.4,1.6,0.3,3.9,3.4000000000000004,2.4,2.6,3.9,3.1,3.6999999999999997,11.899999999999999,4.1000000000000005,10.0,8.3,19.7,5.8999999999999995,6.9,3.9
2.1,0.3,0.6,1.3,0.3,1.7000000000000002,0.3,3.8,3.3000000000000003,2.5,2.5,3.6999999999999997,3.0,3.4000000000000004,10.9,3.8,10.9,8.4,21.099999999999998,4.0,8.4,3.8
2.0,0.3,0.6,1.3,0.3,1.7000000000000002,0.3,3.6999999999999997,3.5000000000000004,2.4,2.4,3.5999999999999996,2.9000000000000004,3.3000000000000003,10.8,3.6999999999999997,10.4,8.4,20.599999999999998,5.1,8.9,3.9
2.1,0.3,0.6,1.4000000000000001,0.3,1.7000000000000002,0.3,4.0,2.7,2.6,2.6,3.6999999999999997,3.2,3.6999999999999997,11.700000000000001,4.0,11.700000000000001,2.9000000000000004,20.599999999999998,5.6000000000000005,10.0,4.1000000000000005
1.7999999999999998,0.2,0.8,1.0999999999999999,0.4,1.6,0.3,3.9,5.4,2.1999999999999997,2.5,4.7,3.0,3.4000000000000004,9.8,4.2,8.7,8.0,23.3,3.8,6.7,4.0
1.2,0.4,0.5,1.7000000000000002,0.3,1.7000000000000002,0.5,3.5000000000000004,1.5,2.8000000000000003,2.3,3.3000000000000003,3.1,3.5999999999999996,10.299999999999999,3.9,12.1,3.1,17.0,7.7,15.1,4.6
0.5,0.6,1.0999999999999999,0.6,1.0,1.7999999999999998,1.7000000000000002,3.1,4.2,1.7000000000000002,3.1,2.7,3.2,3.9,4.3999999999999995,8.7,4.3,10.299999999999999,9.4,5.3,9.1,19.1
0.5,0.5,0.6,1.0999999999999999,0.8999999999999999,1.3,0.8999999999999999,2.1999999999999997,1.5,2.6,2.1,3.2,3.3000000000000003,3.6999999999999997,6.5,5.1,8.0,8.1,12.3,9.3,14.799999999999999,11.5
2.1,0.4,0.6,1.0999999999999999,0.4,1.5,0.3,4.0,4.3,2.1999999999999997,2.9000000000000004,3.9,3.0,3.8,12.6,4.3,7.7,8.200000000000001,17.4,8.6,6.5,4.3
2.1999999999999997,0.4,0.5,1.3,0.4,1.5,0.3,4.2,2.9000000000000004,2.6,2.6,3.5999999999999996,3.2,3.6999999999999997,12.4,4.1000000000000005,11.600000000000001,2.7,20.599999999999998,6.7,8.5,4.0
1.0,0.4,0.4,1.4000000000000001,0.6,1.4000000000000001,0.5,3.3000000000000003,1.0999999999999999,2.6,2.1,3.2,3.1,3.5999999999999996,9.3,4.1000000000000005,10.5,2.8000000000000003,12.1,15.2,14.799999999999999,6.6000000000000005
1.7000000000000002,0.4,0.5,1.5,0.4,1.5,0.4,3.9,1.7999999999999998,2.7,2.4,3.3000000000000003,3.1,3.5999999999999996,11.200000000000001,4.0,12.7,2.9000000000000004,17.9,8.200000000000001,11.799999999999999,4.5
2.0,0.3,0.5,1.5,0.3,1.4000000000000001,0.4,4.0,2.1,2.7,2.4,3.3000000000000003,3.1,3.5999999999999996,11.200000000000001,3.9,13.600000000000001,3.0,18.0,7.3,11.0,4.1000000000000005
2.0,0.2,0.6,1.0999999999999999,0.5,1.3,0.3,4.0,3.5000000000000004,2.4,2.7,4.8,3.2,3.6999999999999997,10.9,4.3,9.9,8.3,20.3,5.3,6.4,4.2
1.9,0.3,0.6,1.4000000000000001,0.4,1.5,0.3,4.1000000000000005,3.5999999999999996,2.6,2.5,3.5999999999999996,3.1,3.5999999999999996,11.4,4.1000000000000005,11.799999999999999,2.7,20.5,6.2,9.6,4.2
2.0,0.3,0.5,1.5,0.3,1.5,0.3,4.0,2.4,2.7,2.5,3.5000000000000004,3.2,3.5999999999999996,11.3,4.0,13.200000000000001,2.9000000000000004,19.2,6.2,10.7,4.0
2.1,0.3,0.6,1.4000000000000001,0.4,1.5,0.3,4.1000000000000005,2.8000000000000003,2.7,2.5,3.5000000000000004,3.2,3.5999999999999996,11.4,4.1000000000000005,12.8,2.8000000000000003,20.1,5.800000000000001,10.0,4.0
2.1,0.3,0.6,1.2,0.4,1.6,0.3,4.0,3.4000000000000004,2.3,2.6,4.1000000000000005,3.1,3.6999999999999997,11.899999999999999,4.1000000000000005,9.4,8.200000000000001,19.8,6.1,6.800000000000001,4.0
1.7000000000000002,0.4,0.6,1.4000000000000001,0.3,1.7000000000000002,0.3,4.0,3.6999999999999997,2.5,2.4,3.3000000000000003,3.0,3.5000000000000004,11.600000000000001,3.9,11.1,3.5000000000000004,19.400000000000002,6.4,11.0,4.1000000000000005
1.7000000000000002,0.4,0.5,1.6,0.3,1.7000000000000002,0.4,3.8,1.9,2.7,2.4,3.2,3.1,3.5000000000000004,11.600000000000001,3.6999999999999997,12.4,3.0,18.4,6.7,12.9,4.1000000000000005
