MARRIAGE_DAYS_futcov,FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,PROP_FESTIVE_PHASE_II_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_pos_relative_futcov,FESTIVE_PHASE_II_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov
1.2,1.9,2.1999999999999997,2.0,3.9,4.0,4.2,6.7,5.6000000000000005,7.3999999999999995,7.6,7.9,7.6,10.2,8.9,18.7
1.5,1.7999999999999998,1.5,2.5,5.2,4.2,4.8,5.3,5.800000000000001,8.7,7.199999999999999,7.6,8.1,8.6,10.0,17.4
1.6,1.7000000000000002,1.5,2.5,5.7,4.2,4.8,5.3,5.8999999999999995,9.0,7.199999999999999,7.3,7.8,8.4,9.700000000000001,17.5
1.5,1.6,1.5,2.5,4.3999999999999995,4.3,4.5,5.5,5.7,8.4,7.7,9.2,8.200000000000001,7.6,10.6,16.900000000000002
1.5,1.3,2.1,2.6,4.3999999999999995,4.3999999999999995,4.3999999999999995,6.3,5.6000000000000005,8.0,9.0,11.3,7.5,6.1,10.2,15.299999999999999
1.2,1.6,1.6,2.1,3.2,3.9,3.9,4.1000000000000005,5.3,7.000000000000001,7.3999999999999995,8.200000000000001,9.700000000000001,9.1,10.9,20.8
1.4000000000000001,1.2,2.0,2.3,3.6999999999999997,4.3,4.0,5.5,5.5,7.6,8.799999999999999,10.8,8.1,5.6000000000000005,10.7,18.4
1.3,1.6,1.4000000000000001,2.0,7.000000000000001,4.3,5.1,6.1,6.3,10.7,7.3999999999999995,7.1,6.9,9.9,8.4,14.399999999999999
1.3,1.3,2.0,2.6,5.3,4.7,4.3,7.8,6.6000000000000005,9.1,7.7,7.6,6.5,8.6,9.4,15.1
1.4000000000000001,2.1,1.4000000000000001,2.1999999999999997,2.5,3.5999999999999996,4.3999999999999995,3.3000000000000003,5.0,5.5,7.199999999999999,9.1,13.900000000000002,10.0,11.3,16.900000000000002
1.5,1.2,4.0,2.7,4.1000000000000005,4.6,3.5000000000000004,6.7,9.1,5.3,14.499999999999998,21.7,4.7,2.1,7.3,7.1
